DATE,STOCK,DAY_OF_MONTH,DAY_OF_WEEK,WEEK_OF_MONTH,MONTH,QUARTER,YEAR,CLOSE_LAG_1,CLOSE_LAG_2,CLOSE_MA_3,FORECAST,MODEL_TYPE,RUN_DATE
2024-06-11,BOVA11.SA,11,1,2,6,2,2024,117.43,117.13,117.98666666666668,100.83052825927734,XGB,2024-06-10
2024-06-12,BOVA11.SA,12,2,2,6,2,2024,100.83052825927734,117.43,106.3636855061849,87.6833724975586,XGB,2024-06-10
2024-06-13,BOVA11.SA,13,3,2,6,2,2024,87.6833724975586,100.83052825927734,92.06575775146484,74.17340850830078,XGB,2024-06-10
2024-06-14,BOVA11.SA,14,4,2,6,2,2024,74.17340850830078,87.6833724975586,78.67672729492188,65.86907958984375,XGB,2024-06-10
2024-06-17,BOVA11.SA,17,0,3,6,2,2024,65.86907958984375,74.17340850830078,68.6371841430664,58.02925109863281,XGB,2024-06-10
2024-06-18,BOVA11.SA,18,1,3,6,2,2024,58.02925109863281,65.86907958984375,60.64252853393555,50.492576599121094,XGB,2024-06-10
2024-06-11,BOVA11.SA,11,1,2,6,2,2024,117.43,117.13,117.98666666666668,117.46081022812976,ET,2024-06-10
2024-06-12,BOVA11.SA,12,2,2,6,2,2024,117.46081022812976,117.43,117.4505401520865,117.01942827327908,ET,2024-06-10
2024-06-13,BOVA11.SA,13,3,2,6,2,2024,117.01942827327908,117.46081022812976,117.16655559156264,117.19133053841585,ET,2024-06-10
2024-06-14,BOVA11.SA,14,4,2,6,2,2024,117.19133053841585,117.01942827327908,117.13402978337025,117.06758891753675,ET,2024-06-10
2024-06-17,BOVA11.SA,17,0,3,6,2,2024,117.06758891753675,117.19133053841585,117.10883612449645,117.30609602501264,ET,2024-06-10
2024-06-18,BOVA11.SA,18,1,3,6,2,2024,117.30609602501264,117.06758891753675,117.226593655854,117.59924544728153,ET,2024-06-10
2024-06-11,BCFF11.SA,11,1,2,6,2,2024,8.49,8.68,8.623333333333333,7.39647102355957,XGB,2024-06-10
2024-06-12,BCFF11.SA,12,2,2,6,2,2024,7.39647102355957,8.49,7.760980682373048,6.51994514465332,XGB,2024-06-10
2024-06-13,BCFF11.SA,13,3,2,6,2,2024,6.51994514465332,7.39647102355957,6.81212043762207,5.633378982543945,XGB,2024-06-10
2024-06-14,BCFF11.SA,14,4,2,6,2,2024,5.633378982543945,6.51994514465332,5.928901195526123,4.940718173980713,XGB,2024-06-10
2024-06-17,BCFF11.SA,17,0,3,6,2,2024,4.940718173980713,5.633378982543945,5.171604633331299,4.321197032928467,XGB,2024-06-10
2024-06-18,BCFF11.SA,18,1,3,6,2,2024,4.321197032928467,4.940718173980713,4.527704238891602,3.837965726852417,XGB,2024-06-10
2024-06-11,BCFF11.SA,11,1,2,6,2,2024,8.49,8.68,8.623333333333333,8.514852083333334,ET,2024-06-10
2024-06-12,BCFF11.SA,12,2,2,6,2,2024,8.514852083333334,8.49,8.506568055555556,8.590617857142856,ET,2024-06-10
2024-06-13,BCFF11.SA,13,3,2,6,2,2024,8.590617857142856,8.514852083333334,8.565362599206349,8.652556304112558,ET,2024-06-10
2024-06-14,BCFF11.SA,14,4,2,6,2,2024,8.652556304112558,8.590617857142856,8.631910155122657,8.676796834415585,ET,2024-06-10
2024-06-17,BCFF11.SA,17,0,3,6,2,2024,8.676796834415585,8.652556304112558,8.668716657647908,8.607611607142857,ET,2024-06-10
2024-06-18,BCFF11.SA,18,1,3,6,2,2024,8.607611607142857,8.676796834415585,8.630673349567099,8.543842803030305,ET,2024-06-10
2024-06-11,TAEE4.SA,11,1,2,6,2,2024,11.25,11.29,11.306666666666667,9.798605918884277,XGB,2024-06-10
2024-06-12,TAEE4.SA,12,2,2,6,2,2024,9.798605918884277,11.25,10.282403945922852,8.636148452758789,XGB,2024-06-10
2024-06-13,TAEE4.SA,13,3,2,6,2,2024,8.636148452758789,9.798605918884277,9.02363395690918,7.702189922332764,XGB,2024-06-10
2024-06-14,TAEE4.SA,14,4,2,6,2,2024,7.702189922332764,8.636148452758789,8.013509750366211,6.895543575286865,XGB,2024-06-10
2024-06-17,TAEE4.SA,17,0,3,6,2,2024,6.895543575286865,7.702189922332764,7.164425373077393,6.243713855743408,XGB,2024-06-10
2024-06-18,TAEE4.SA,18,1,3,6,2,2024,6.243713855743408,6.895543575286865,6.4609904289245605,5.504782199859619,XGB,2024-06-10
2024-06-11,TAEE4.SA,11,1,2,6,2,2024,11.25,11.29,11.306666666666667,11.274865756204678,ET,2024-06-10
2024-06-12,TAEE4.SA,12,2,2,6,2,2024,11.274865756204678,11.25,11.266577170803117,11.29628646076352,ET,2024-06-10
2024-06-13,TAEE4.SA,13,3,2,6,2,2024,11.29628646076352,11.274865756204678,11.289146225910573,11.341988915973953,ET,2024-06-10
