Date,Stock,Close
2009-06-16,BOVA11.SA,51.189998626708984
2009-06-17,BOVA11.SA,51.0
2009-06-18,BOVA11.SA,50.849998474121094
2009-06-19,BOVA11.SA,51.400001525878906
2009-06-22,BOVA11.SA,49.400001525878906
2009-06-23,BOVA11.SA,49.75
2009-06-24,BOVA11.SA,49.70000076293945
2009-06-25,BOVA11.SA,51.38999938964844
2009-06-26,BOVA11.SA,51.560001373291016
2009-06-29,BOVA11.SA,52.02000045776367
2009-06-30,BOVA11.SA,51.400001525878906
2009-07-01,BOVA11.SA,51.52000045776367
2009-07-02,BOVA11.SA,50.88999938964844
2009-07-03,BOVA11.SA,50.79999923706055
2009-07-06,BOVA11.SA,50.5
2009-07-07,BOVA11.SA,49.25
2009-07-08,BOVA11.SA,49.04999923706055
2009-07-10,BOVA11.SA,49.0
2009-07-13,BOVA11.SA,49.29999923706055
2009-07-14,BOVA11.SA,48.70000076293945
2009-07-15,BOVA11.SA,51.279998779296875
2009-07-16,BOVA11.SA,51.900001525878906
2009-07-17,BOVA11.SA,51.900001525878906
2009-07-20,BOVA11.SA,53.04999923706055
2009-07-21,BOVA11.SA,53.099998474121094
2009-07-22,BOVA11.SA,53.04999923706055
2009-07-23,BOVA11.SA,53.9900016784668
2009-07-24,BOVA11.SA,54.400001525878906
2009-07-27,BOVA11.SA,54.5
2009-07-28,BOVA11.SA,54.5
2009-07-29,BOVA11.SA,53.70000076293945
2009-07-30,BOVA11.SA,54.02000045776367
2009-07-31,BOVA11.SA,54.5
2009-08-03,BOVA11.SA,55.95000076293945
2009-08-04,BOVA11.SA,56.0
2009-08-05,BOVA11.SA,56.150001525878906
2009-08-06,BOVA11.SA,55.599998474121094
2009-08-07,BOVA11.SA,56.11000061035156
2009-08-10,BOVA11.SA,56.45000076293945
2009-08-11,BOVA11.SA,55.58000183105469
2009-08-12,BOVA11.SA,56.599998474121094
2009-08-13,BOVA11.SA,56.40999984741211
2009-08-14,BOVA11.SA,56.5
2009-08-17,BOVA11.SA,55.0
2009-08-18,BOVA11.SA,55.70000076293945
2009-08-19,BOVA11.SA,55.61000061035156
2009-08-20,BOVA11.SA,56.599998474121094
2009-08-21,BOVA11.SA,57.20000076293945
2009-08-24,BOVA11.SA,57.45000076293945
2009-08-25,BOVA11.SA,57.29999923706055
2009-08-26,BOVA11.SA,57.5
2009-08-27,BOVA11.SA,57.5
2009-08-28,BOVA11.SA,57.5
2009-08-31,BOVA11.SA,56.25
2009-09-01,BOVA11.SA,55.5
2009-09-02,BOVA11.SA,54.9900016784668
2009-09-03,BOVA11.SA,55.70000076293945
2009-09-04,BOVA11.SA,56.650001525878906
2009-09-08,BOVA11.SA,57.630001068115234
2009-09-09,BOVA11.SA,57.599998474121094
2009-09-10,BOVA11.SA,58.20000076293945
2009-09-11,BOVA11.SA,58.099998474121094
2009-09-14,BOVA11.SA,58.63999938964844
2009-09-15,BOVA11.SA,58.79999923706055
2009-09-16,BOVA11.SA,60.029998779296875
2009-09-17,BOVA11.SA,59.900001525878906
2009-09-18,BOVA11.SA,60.0
2009-09-21,BOVA11.SA,60.66999816894531
2009-09-22,BOVA11.SA,61.099998474121094
2009-09-23,BOVA11.SA,60.20000076293945
2009-09-24,BOVA11.SA,59.689998626708984
2009-09-25,BOVA11.SA,59.9900016784668
2009-09-28,BOVA11.SA,60.9900016784668
2009-09-29,BOVA11.SA,60.75
2009-09-30,BOVA11.SA,61.5099983215332
2009-10-01,BOVA11.SA,60.38999938964844
2009-10-02,BOVA11.SA,60.9900016784668
2009-10-05,BOVA11.SA,62.0
2009-10-06,BOVA11.SA,62.5
2009-10-07,BOVA11.SA,62.400001525878906
2009-10-08,BOVA11.SA,63.54999923706055
2009-10-09,BOVA11.SA,63.54999923706055
2009-10-13,BOVA11.SA,64.19999694824219
2009-10-14,BOVA11.SA,65.98999786376953
2009-10-15,BOVA11.SA,66.48999786376953
2009-10-16,BOVA11.SA,65.7699966430664
2009-10-19,BOVA11.SA,66.9000015258789
2009-10-20,BOVA11.SA,65.0
2009-10-21,BOVA11.SA,65.69999694824219
2009-10-22,BOVA11.SA,65.94999694824219
2009-10-23,BOVA11.SA,64.69999694824219
2009-10-26,BOVA11.SA,65.0
2009-10-27,BOVA11.SA,62.7400016784668
2009-10-28,BOVA11.SA,59.70000076293945
2009-10-29,BOVA11.SA,63.5
2009-10-30,BOVA11.SA,61.5
2009-11-03,BOVA11.SA,62.25
2009-11-04,BOVA11.SA,63.54999923706055
2009-11-05,BOVA11.SA,64.5
2009-11-06,BOVA11.SA,63.95000076293945
2009-11-09,BOVA11.SA,65.9000015258789
2009-11-10,BOVA11.SA,66.0
2009-11-11,BOVA11.SA,65.9000015258789
2009-11-12,BOVA11.SA,64.0999984741211
2009-11-13,BOVA11.SA,64.80000305175781
2009-11-16,BOVA11.SA,66.12000274658203
2009-11-17,BOVA11.SA,66.80000305175781
2009-11-18,BOVA11.SA,66.0
2009-11-19,BOVA11.SA,65.8499984741211
2009-11-23,BOVA11.SA,66.3499984741211
2009-11-24,BOVA11.SA,66.80000305175781
2009-11-25,BOVA11.SA,67.5
2009-11-26,BOVA11.SA,65.5
2009-11-27,BOVA11.SA,66.5999984741211
2009-11-30,BOVA11.SA,66.9000015258789
2009-12-01,BOVA11.SA,67.9000015258789
2009-12-02,BOVA11.SA,68.0
2009-12-03,BOVA11.SA,68.0999984741211
2009-12-04,BOVA11.SA,67.5
2009-12-07,BOVA11.SA,68.16000366210938
2009-12-08,BOVA11.SA,67.19999694824219
2009-12-09,BOVA11.SA,67.30000305175781
2009-12-10,BOVA11.SA,68.25
2009-12-11,BOVA11.SA,68.7300033569336
2009-12-14,BOVA11.SA,69.0
2009-12-15,BOVA11.SA,68.94999694824219
2009-12-16,BOVA11.SA,68.19999694824219
2009-12-17,BOVA11.SA,66.5999984741211
2009-12-18,BOVA11.SA,66.5
2009-12-21,BOVA11.SA,66.5
2009-12-22,BOVA11.SA,67.0
2009-12-23,BOVA11.SA,67.25
2009-12-28,BOVA11.SA,67.9000015258789
2009-12-29,BOVA11.SA,67.94000244140625
2009-12-30,BOVA11.SA,68.5
2010-01-04,BOVA11.SA,69.37000274658203
2010-01-05,BOVA11.SA,69.9000015258789
2010-01-06,BOVA11.SA,70.30000305175781
2010-01-07,BOVA11.SA,70.0
2010-01-08,BOVA11.SA,69.4800033569336
2010-01-11,BOVA11.SA,69.98999786376953
2010-01-12,BOVA11.SA,69.69999694824219
2010-01-13,BOVA11.SA,70.0
2010-01-14,BOVA11.SA,69.5
2010-01-15,BOVA11.SA,68.5
2010-01-18,BOVA11.SA,68.9000015258789
2010-01-19,BOVA11.SA,68.12000274658203
2010-01-20,BOVA11.SA,67.69999694824219
2010-01-21,BOVA11.SA,65.9000015258789
2010-01-22,BOVA11.SA,65.58999633789062
2010-01-26,BOVA11.SA,64.9800033569336
2010-01-27,BOVA11.SA,64.9000015258789
2010-01-28,BOVA11.SA,65.19999694824219
2010-01-29,BOVA11.SA,64.9000015258789
2010-02-01,BOVA11.SA,66.05000305175781
2010-02-02,BOVA11.SA,66.69999694824219
2010-02-03,BOVA11.SA,66.58999633789062
2010-02-04,BOVA11.SA,63.400001525878906
2010-02-05,BOVA11.SA,62.0
2010-02-08,BOVA11.SA,62.599998474121094
2010-02-09,BOVA11.SA,64.08999633789062
2010-02-10,BOVA11.SA,64.55000305175781
2010-02-11,BOVA11.SA,65.5999984741211
2010-02-12,BOVA11.SA,65.5999984741211
2010-02-17,BOVA11.SA,66.94000244140625
2010-02-18,BOVA11.SA,67.5999984741211
2010-02-19,BOVA11.SA,67.4000015258789
2010-02-22,BOVA11.SA,67.0
2010-02-23,BOVA11.SA,66.0
2010-02-24,BOVA11.SA,65.5999984741211
2010-02-25,BOVA11.SA,66.0
2010-02-26,BOVA11.SA,66.5
2010-03-01,BOVA11.SA,67.19999694824219
2010-03-02,BOVA11.SA,67.13999938964844
2010-03-03,BOVA11.SA,67.4000015258789
2010-03-04,BOVA11.SA,67.30000305175781
2010-03-05,BOVA11.SA,68.5
2010-03-08,BOVA11.SA,67.83999633789062
2010-03-09,BOVA11.SA,69.19999694824219
2010-03-10,BOVA11.SA,69.69999694824219
2010-03-11,BOVA11.SA,69.5
2010-03-12,BOVA11.SA,68.9000015258789
2010-03-15,BOVA11.SA,68.5
2010-03-16,BOVA11.SA,69.5
2010-03-17,BOVA11.SA,69.30000305175781
2010-03-18,BOVA11.SA,69.19999694824219
2010-03-19,BOVA11.SA,68.5
2010-03-22,BOVA11.SA,68.44999694824219
2010-03-23,BOVA11.SA,68.88999938964844
2010-03-24,BOVA11.SA,68.27999877929688
2010-03-25,BOVA11.SA,67.69999694824219
2010-03-26,BOVA11.SA,68.30000305175781
2010-03-29,BOVA11.SA,69.5
2010-03-30,BOVA11.SA,69.5
2010-03-31,BOVA11.SA,70.0
2010-04-01,BOVA11.SA,70.5999984741211
2010-04-05,BOVA11.SA,70.75
2010-04-06,BOVA11.SA,70.44999694824219
2010-04-07,BOVA11.SA,70.1500015258789
2010-04-08,BOVA11.SA,71.30000305175781
2010-04-09,BOVA11.SA,71.0
2010-04-12,BOVA11.SA,70.0999984741211
2010-04-13,BOVA11.SA,70.25
2010-04-14,BOVA11.SA,70.44999694824219
2010-04-15,BOVA11.SA,69.77999877929688
2010-04-16,BOVA11.SA,68.83999633789062
2010-04-19,BOVA11.SA,68.5
2010-04-20,BOVA11.SA,68.69999694824219
2010-04-22,BOVA11.SA,68.80000305175781
2010-04-23,BOVA11.SA,68.94999694824219
2010-04-26,BOVA11.SA,68.33000183105469
2010-04-27,BOVA11.SA,66.0
2010-04-28,BOVA11.SA,66.01000213623047
2010-04-29,BOVA11.SA,67.44999694824219
2010-04-30,BOVA11.SA,66.91999816894531
2010-05-03,BOVA11.SA,66.80000305175781
2010-05-04,BOVA11.SA,64.30000305175781
2010-05-05,BOVA11.SA,64.80000305175781
2010-05-06,BOVA11.SA,63.20000076293945
2010-05-07,BOVA11.SA,62.5
2010-05-10,BOVA11.SA,65.3499984741211
2010-05-11,BOVA11.SA,63.22999954223633
2010-05-12,BOVA11.SA,64.9000015258789
2010-05-13,BOVA11.SA,64.33999633789062
2010-05-14,BOVA11.SA,62.900001525878906
2010-05-17,BOVA11.SA,62.400001525878906
2010-05-18,BOVA11.SA,60.45000076293945
2010-05-19,BOVA11.SA,59.189998626708984
2010-05-20,BOVA11.SA,57.97999954223633
2010-05-21,BOVA11.SA,60.20000076293945
2010-05-24,BOVA11.SA,59.20000076293945
2010-05-25,BOVA11.SA,58.70000076293945
2010-05-26,BOVA11.SA,59.84000015258789
2010-05-27,BOVA11.SA,61.70000076293945
2010-05-28,BOVA11.SA,61.400001525878906
2010-05-31,BOVA11.SA,62.41999816894531
2010-06-01,BOVA11.SA,61.599998474121094
2010-06-02,BOVA11.SA,62.70000076293945
2010-06-04,BOVA11.SA,61.119998931884766
2010-06-07,BOVA11.SA,60.45000076293945
2010-06-08,BOVA11.SA,61.29999923706055
2010-06-09,BOVA11.SA,61.0
2010-06-10,BOVA11.SA,62.5
2010-06-11,BOVA11.SA,63.20000076293945
2010-06-14,BOVA11.SA,62.869998931884766
2010-06-15,BOVA11.SA,64.01000213623047
2010-06-16,BOVA11.SA,64.19999694824219
2010-06-17,BOVA11.SA,64.0999984741211
2010-06-18,BOVA11.SA,64.19999694824219
2010-06-21,BOVA11.SA,64.4000015258789
2010-06-22,BOVA11.SA,64.3499984741211
2010-06-23,BOVA11.SA,64.80000305175781
2010-06-24,BOVA11.SA,63.599998474121094
2010-06-25,BOVA11.SA,64.44999694824219
2010-06-28,BOVA11.SA,63.849998474121094
2010-06-29,BOVA11.SA,61.630001068115234
2010-06-30,BOVA11.SA,60.369998931884766
2010-07-01,BOVA11.SA,60.619998931884766
2010-07-02,BOVA11.SA,60.900001525878906
2010-07-05,BOVA11.SA,60.38999938964844
2010-07-06,BOVA11.SA,61.599998474121094
2010-07-07,BOVA11.SA,62.79999923706055
2010-07-08,BOVA11.SA,63.099998474121094
2010-07-12,BOVA11.SA,62.5
2010-07-13,BOVA11.SA,63.25
2010-07-14,BOVA11.SA,63.04999923706055
2010-07-15,BOVA11.SA,63.04999923706055
2010-07-16,BOVA11.SA,61.849998474121094
2010-07-19,BOVA11.SA,62.79999923706055
2010-07-20,BOVA11.SA,63.79999923706055
2010-07-21,BOVA11.SA,63.900001525878906
2010-07-22,BOVA11.SA,65.30000305175781
2010-07-23,BOVA11.SA,65.98999786376953
2010-07-26,BOVA11.SA,65.98999786376953
2010-07-27,BOVA11.SA,66.12999725341797
2010-07-28,BOVA11.SA,66.19000244140625
